segment,n_gaps,mean,median,std,min,max,p01,p05,p25,p75,p90,p95,p99,pct_above_10s,pct_above_30s,pct_above_60s,pct_above_120s,pct_above_300s,pct_above_600s
overall,39692,97.63930823080217,69.34880000000001,1109.885429717366,67.545392,220979.615738,68.33015338,68.35757665,68.42043100000001,81.96646899999999,188.9266546,189.40090915,202.58638538999952,100.0,100.0,100.0,18.910611710168297,0.03275219187745641,0.015116396251133729
train,29568,80.89807776450893,68.883229,1285.1237543153773,67.545392,220979.615738,68.3282024,68.35269545,68.40676775,71.66189324999999,81.57392349999999,87.1110067,157.29817525999997,100.0,100.0,100.0,1.5658820346320348,0.040584415584415584,0.01691017316017316
val,5631,122.75534842479132,71.100839,60.08064152133088,68.30881,728.493525,68.3369907,68.366975,68.438011,189.071372,189.79685,190.6694165,228.90331129999998,100.0,100.0,100.0,45.28502930207778,0.01775883502042266,0.01775883502042266
development_test,4493,176.33422924015136,188.882752,21.238988672745037,148.552692,272.384028,148.695507,148.77625700000002,149.328457,189.284867,190.0957812,197.8209199999999,229.28330316,100.0,100.0,100.0,100.0,0.0,0.0
