regime,n,macro_f1,balanced_accuracy,log_loss
volatility_low,1140,0.4264692649342154,0.42003327721588973,0.9571244120597839
volatility_medium,1614,0.45834786510648584,0.48272002862911484,1.0417089462280273
volatility_high,1738,0.38108508407017644,0.43061566828525577,1.0645396709442139
spread_narrow,1048,0.5107675941743085,0.5231259889470673,0.9889307618141174
spread_medium,1183,0.4695381079310905,0.4742873714733151,1.0268356800079346
spread_wide,2261,0.44609471535385886,0.465852411581349,1.048856258392334
gap_60_180,1692,0.48416000512673757,0.5059167410080189,1.0187941789627075
gap_ge_180,2800,0.4612554757965755,0.47117954273295704,1.0352895259857178
