model,n,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,mcc,precision_DOWN,recall_DOWN,f1_DOWN,support_DOWN,precision_STABLE,recall_STABLE,f1_STABLE,support_STABLE,precision_UP,recall_UP,f1_UP,support_UP,log_loss,brier_score,roc_auc_ovr_macro
majority,4492,0.1731967943009795,0.3333333333333333,0.09841872232764072,0.05773226476699317,0.3333333333333333,0.0,0.0,0.0,0.0,1904,0.1731967943009795,1.0,0.2952561669829222,778,0.0,0.0,0.0,1810,29.801008167226417,0.5512021371326803,0.5
previous_direction,4492,0.43499554764024934,0.42130980458197564,0.42130980458197564,0.42130980458197564,0.42130980458197564,0.10028580754362716,0.47163865546218486,0.47163865546218486,0.47163865546218486,1904,0.36632390745501286,0.36632390745501286,0.36632390745501286,778,0.42596685082872926,0.42596685082872926,0.42596685082872926,1810,20.364824644162805,0.3766696349065004,0.5591789688311273
obi_rule,4492,0.42876224398931434,0.37391650428013384,0.37264820643559,0.3732166094019648,0.37391650428013384,0.07765377698411914,0.47929292929292927,0.49842436974789917,0.4886714727085479,1904,0.18566775244299674,0.14652956298200515,0.16379310344827586,778,0.4546891464699684,0.4767955801104972,0.46548004314994607,1810,20.58949568042622,0.38082517067379046,0.5338067678228623
logistic,4492,0.3715494211932324,0.44524166233125356,0.36888284721350484,0.4323431866631889,0.44524166233125356,0.14545842182158952,0.5435855263157895,0.3471638655462185,0.4237179487179487,1904,0.23933360422592442,0.7570694087403599,0.36369249768447054,778,0.5141104294478528,0.23149171270718233,0.31923809523809527,1810,1.1270509022863204,0.22926532689503817,0.6329840779650729
xgboost,4492,0.47417631344612643,0.4728185760804627,0.4599209302037952,0.45691825088409616,0.4728185760804627,0.18606533753470977,0.5328227571115973,0.5115546218487395,0.5219721329046088,1904,0.33152173913043476,0.4704370179948586,0.3889479277364506,778,0.5064102564102564,0.43646408839779005,0.4688427299703264,1810,1.0186446905136108,0.20541794101397196,0.6569597789817879
catboost,4492,0.46460373998219057,0.4669799935057322,0.45191849461027805,0.44880750979825595,0.4669799935057322,0.1722827598765077,0.5216701902748414,0.5183823529411765,0.5200210748155953,1904,0.3342245989304813,0.4820051413881748,0.39473684210526316,778,0.49052774018944517,0.4005524861878453,0.44099756690997566,1810,1.0237486833695342,0.20638607425462682,0.6518827431845463
