model,class,precision,recall,f1,support
xgboost,DOWN,0.5328227571115973,0.5115546218487395,0.5219721329046088,1904
xgboost,STABLE,0.33152173913043476,0.4704370179948586,0.3889479277364506,778
xgboost,UP,0.5064102564102564,0.43646408839779005,0.4688427299703264,1810
logistic,DOWN,0.5435855263157895,0.3471638655462185,0.4237179487179487,1904
logistic,STABLE,0.23933360422592442,0.7570694087403599,0.36369249768447054,778
logistic,UP,0.5141104294478528,0.23149171270718233,0.31923809523809527,1810
catboost,DOWN,0.5216701902748414,0.5183823529411765,0.5200210748155953,1904
catboost,STABLE,0.3342245989304813,0.4820051413881748,0.39473684210526316,778
catboost,UP,0.49052774018944517,0.4005524861878453,0.44099756690997566,1810
