feature,mean_abs_shap,mean_abs_shap_DOWN,mean_abs_shap_STABLE,mean_abs_shap_UP
spread_std_120s,0.07992096245288849,0.019013281911611557,0.18165728449821472,0.03909232094883919
log_bid_depth_1,0.07039732486009598,0.115674689412117,0.08824598789215088,0.007271301466971636
hour_cos,0.06703314930200577,0.029416751116514206,0.1283317506313324,0.0433509461581707
trade_intensity_300s,0.06574975699186325,0.010049601085484028,0.1141824796795845,0.0730171948671341
volatility_120s,0.06473793834447861,0.05310562252998352,0.07631371170282364,0.06479447335004807
log_ask_depth_1,0.0588715486228466,0.013827173039317131,0.04512045532464981,0.11766701936721802
last_trade_edge_bps,0.056607577949762344,0.09521868824958801,0.00471612811088562,0.0698879212141037
bid_distance_3_bps,0.056187599897384644,0.09293939918279648,0.0068296464160084724,0.06879375129938126
ask_distance_3_bps,0.0498192198574543,0.06424716114997864,0.003905522171407938,0.08130497485399246
hour_sin,0.04741185903549194,0.03616277873516083,0.0993776023387909,0.006695195101201534
volatility_600s,0.045464303344488144,0.01690855249762535,0.1057303324341774,0.013754031620919704
relative_spread_bps,0.03991881385445595,0.012319894507527351,0.0825614184141159,0.024875132367014885
obi5_std_300s,0.03883025422692299,0.02305070124566555,0.08347095549106598,0.009969102218747139
normalized_ofi_120s,0.03397069498896599,0.0479472279548645,0.004166009370237589,0.04979884624481201
log_bid_depth_2,0.032046880573034286,0.06920238584280014,0.0243142731487751,0.0026239813305437565
trade_imbalance_120s,0.02562619186937809,0.04173516854643822,0.0033034656662493944,0.031839944422245026
delta_spread_5s,0.02356184832751751,0.007614028640091419,0.0477357916533947,0.015335721895098686
log_ask_depth_3,0.023081885650753975,0.022582359611988068,0.04008304327726364,0.006580252666026354
normalized_ofi_600s,0.022829167544841766,0.03285367786884308,0.0094608124345541,0.026173008605837822
obi_1,0.02144676446914673,0.023555049672722816,0.0019237392116338015,0.038861505687236786
return_5s,0.021276988089084625,0.022534744814038277,0.0075657363049685955,0.033730484545230865
ofi_proxy,0.021046197041869164,0.009629405103623867,0.013745484873652458,0.03976370394229889
spread_std_300s,0.020554836839437485,0.01107353437691927,0.03698594495654106,0.013605031184852123
log_ask_depth_2,0.019848348572850227,0.004502836614847183,0.04067409038543701,0.014368118718266487
ofi_proxy_300s,0.01957334391772747,0.010869377292692661,0.0029905966948717833,0.044860053807497025
bid_distance_5_bps,0.019181760028004646,0.03888338804244995,0.0027840931434184313,0.015877801924943924
ofi_proxy_600s,0.0168943852186203,0.01179897878319025,0.004768583923578262,0.03411559388041496
trade_imbalance_300s,0.015090707689523697,0.029586441814899445,0.0073414393700659275,0.008344240486621857
microprice_edge_bps,0.014748912304639816,0.02202005311846733,0.010030987672507763,0.012195694260299206
spread_mean_300s,0.013578810729086399,0.008620453998446465,0.013346913270652294,0.018769066780805588
volatility_300s,0.013271869160234928,0.008497640490531921,0.016972340643405914,0.014345626346766949
