split,class_code,class_name,count,percentage
train,0,DOWN,4579,15.48633658008658
train,1,STABLE,20331,68.7601461038961
train,2,UP,4658,15.753517316017316
val,0,DOWN,1714,30.44404973357016
val,1,STABLE,2300,40.852575488454704
val,2,UP,1616,28.70337477797513
development_test,0,DOWN,1228,27.337488869100625
development_test,1,STABLE,2079,46.28227960819234
development_test,2,UP,1185,26.380231522707035
