feature,mean_f1_decrease,std_f1_decrease,base_macro_f1,rank
bid_distance_3_bps,0.011648867801325102,0.003770490392512507,0.46987096525679634,1
ask_distance_2_bps,0.009494505771931306,0.002453079050063532,0.46987096525679634,2
relative_spread_bps,0.0020681668515308282,0.0013536697625256232,0.46987096525679634,3
ask_distance_3_bps,0.0019642797328219275,0.0030397640439716158,0.46987096525679634,4
hour_cos,0.0013601334128095165,0.0014824074681582834,0.46987096525679634,5
log_ask_depth_5,0.001247857852692247,0.00020436351885982427,0.46987096525679634,6
return_600s,0.0009658294163306103,0.0005634518202864264,0.46987096525679634,7
log_bid_depth_1,0.000557675149403003,0.0016304878046089681,0.46987096525679634,8
mid_return_lag_3,0.00047019362486451223,0.0006952583983198443,0.46987096525679634,9
ask_distance_1_bps,0.0003371165223166273,0.00043876209592923703,0.46987096525679634,10
ask_distance_5_bps,0.00023706563068242036,0.0013682045573497126,0.46987096525679634,11
ask_range_8_bps,7.542907489366257e-05,0.0009755140015814263,0.46987096525679634,12
obi_3,1.6892857773576076e-05,0.0007062735160187362,0.46987096525679634,13
microprice_edge_change_lag_2,9.016126807215308e-06,0.0005057943472359923,0.46987096525679634,14
dow_cos,0.0,0.0,0.46987096525679634,15
dow_sin,0.0,0.0,0.46987096525679634,16
obi_5,-9.762789500769031e-05,0.0004919867567933262,0.46987096525679634,17
obi5_change_lag_3,-0.00010508444775421122,0.0009045757131688573,0.46987096525679634,18
obi5_change_lag_2,-0.0001133003106306818,0.001205366398072146,0.46987096525679634,19
weighted_obi,-0.00014135981213844184,0.0014010087793792918,0.46987096525679634,20
weighted_snapshot_ofi_proxy,-0.0001555256060406851,0.0005933439950392918,0.46987096525679634,21
mid_return_lag_5,-0.00021720876932637134,0.0009241449935205625,0.46987096525679634,22
log_bid_depth_5,-0.00027970671959532957,0.0003388730813465716,0.46987096525679634,23
spread_mean_300s,-0.00033682942664796655,0.0004791310961438985,0.46987096525679634,24
spread_change_lag_5,-0.0003669158621056767,0.0006720801702360392,0.46987096525679634,25
ask_slope,-0.0004437896162643562,0.0006402897975138883,0.46987096525679634,26
log_ask_depth_8,-0.0004907732937046383,0.0005323020402020546,0.46987096525679634,27
mid_return_lag_2,-0.0005006578994413812,0.0013172237976592845,0.46987096525679634,28
bid_depth_change_lag_1,-0.0005782198326627408,0.0007418928035177545,0.46987096525679634,29
ask_depth_change_lag_1,-0.0006006804521668685,0.0010137203774600262,0.46987096525679634,30
spread_change_lag_3,-0.0006036672109649532,0.0007588438962129797,0.46987096525679634,31
microprice_edge_change_lag_3,-0.0006066449839535637,0.00031331162192126984,0.46987096525679634,32
microprice_edge_mean_300s,-0.0006593364362906584,0.0009031306313607928,0.46987096525679634,33
spread_std_300s,-0.0006650536846300792,0.0007981168261794289,0.46987096525679634,34
obi5_mean_300s,-0.0006726324678479667,0.00047069800377212294,0.46987096525679634,35
microprice_edge_change_lag_5,-0.0006781057104540578,0.00048607222731036437,0.46987096525679634,36
log_ask_depth_3,-0.0007384772301509912,0.0007685436686509121,0.46987096525679634,37
spread_mean_600s,-0.0007493147557651514,0.0006836579324012412,0.46987096525679634,38
weighted_obi_mean_300s,-0.0007670496127007542,0.00039194402297594637,0.46987096525679634,39
obi5_mean_600s,-0.0007740700827500669,0.0002266793793095314,0.46987096525679634,40
return_120s,-0.0008546621667344878,0.0006143801854063774,0.46987096525679634,41
obi5_change_lag_1,-0.0008920211578934189,0.0009774625643088422,0.46987096525679634,42
ask_distance_8_bps,-0.0010019209661306539,0.0010985540764368333,0.46987096525679634,43
bid_range_8_bps,-0.001038093601053358,0.001939752845308789,0.46987096525679634,44
microprice_edge_bps,-0.0010575498243874382,0.0001952714220893414,0.46987096525679634,45
hour_sin,-0.0010872112758198217,0.0011946413908958749,0.46987096525679634,46
mid_return_lag_1,-0.001096291030773866,0.001270807854131373,0.46987096525679634,47
log_ask_depth_1,-0.0011067521141387205,0.0033619070906784018,0.46987096525679634,48
microprice_edge_change_lag_1,-0.0011110871094405562,0.0011066141830316648,0.46987096525679634,49
obi_8,-0.0012186640369725387,0.0005575362282441052,0.46987096525679634,50
