horizon_seconds,epsilon,n_train,n_val,n_test,stable_pct_train,test_macro_f1,test_balanced_accuracy,test_log_loss,test_accuracy,f1_DOWN,f1_STABLE,f1_UP
10,0.0022367135831138554,29557,5630,4492,30.189772927745153,0.4599209302037952,0.4728185760804627,1.0186446905136108,0.47417631344612643,0.5219721329046088,0.3889479277364506,0.4688427299703264
30,0.0022367135831138554,29557,5630,4492,30.189772927745153,0.4599209302037952,0.4728185760804627,1.0186446905136108,0.47417631344612643,0.5219721329046088,0.3889479277364506,0.4688427299703264
60,0.0022367135831138554,29557,5630,4492,30.1882513041506,0.4599209302037952,0.4728185760804627,1.0186446905136108,0.47417631344612643,0.5219721329046088,0.3889479277364506,0.4688427299703264
