family,mean_abs_shap,normalized
Static imbalance,0.23789651504193898,0.37942187500523905
Volatility,0.09581938199698925,0.15282262362158472
Static depth,0.05940199817996472,0.0947404274691737
Snapshot order-flow proxy,0.05896389938425273,0.09404170236814699
Static liquidity,0.05294069042429328,0.08443526808837923
Dynamic liquidity,0.042245118296705186,0.06737686758937303
Dynamic imbalance,0.03149210591800511,0.050226855459259756
Price history,0.025240433518774807,0.040256044145709
Time,0.022997220105025917,0.036678336253134526
