segment,n_gaps,mean,median,std,min,max,p01,p05,p25,p75,p90,p95,p99,pct_above_10s,pct_above_30s,pct_above_60s,pct_above_120s,pct_above_300s,pct_above_600s
2026-01-04,842,70.34735856769596,69.596423,2.5120738780683687,68.972272,98.75275,69.02075639,69.0950762,69.32825975,70.20573575,71.8113219,74.09356239999998,80.95026919,100.0,100.0,100.0,0.0,0.0,0.0
2026-01-05,1137,75.95246845294635,69.741389,20.874999946748822,68.930868,330.880019,69.02713996,69.10670660000001,69.35391,71.308281,87.3400826,88.8793436,160.2949854800001,100.0,100.0,100.0,4.133685136323659,0.08795074758135445,0.0
2026-01-06,1141,75.70815367046451,70.153202,16.400005769124952,68.858892,179.158058,68.9907764,69.108806,69.463872,74.336589,85.923441,88.743511,158.21503759999996,100.0,100.0,100.0,3.2427695004382118,0.0,0.0
2026-01-07,1136,76.0954084947183,70.6002625,16.756980567514994,68.913851,253.986623,69.04530765,69.170343,69.54910075,75.423058,87.4433975,88.78832525,158.95916415000002,100.0,100.0,100.0,2.8169014084507045,0.0,0.0
2026-01-08,644,93.98940415838508,70.4811235,48.86285759597619,68.927309,417.468195,69.01487062,69.1293421,69.54223474999999,84.60159725,191.38239650000003,197.73061760000002,206.17411941000015,100.0,100.0,100.0,17.236024844720497,0.4658385093167702,0.0
2026-01-11,816,349.291424057598,71.096153,7733.10697521175,68.32009,220979.615738,68.33688595,68.3684145,68.422177,84.03851275000001,87.98275749999999,89.06513825,164.07867925000005,100.0,100.0,100.0,4.411764705882353,0.12254901960784313,0.12254901960784313
2026-01-12,1107,78.05198957723576,69.656781,17.907906429817526,68.31988,175.778894,68.33304222,68.3562774,68.4113615,84.18250900000001,87.851927,90.23304460000001,162.4847620200002,100.0,100.0,100.0,3.9747064137308037,0.0,0.0
2026-01-13,1101,78.50681300454133,68.786235,52.550013096375984,68.313008,1651.255672,68.329754,68.353134,68.401495,76.780549,87.643073,92.414553,170.222013,100.0,100.0,100.0,4.632152588555858,0.18165304268846502,0.09082652134423251
2026-01-14,1154,74.88551476776429,68.75866099999999,18.34520309282987,68.301548,258.589308,68.32842043,68.3543906,68.402305,74.738144,84.2911346,87.9629217,168.92141278000003,100.0,100.0,100.0,2.859618717504333,0.0,0.0
2026-01-15,1119,77.19803117158177,68.935006,23.98971473554467,68.276234,447.021179,68.32630378,68.350414,68.40997300000001,77.961797,87.450478,91.89546169999998,178.20787451999993,100.0,100.0,100.0,3.485254691689008,0.08936550491510277,0.0
2026-01-16,1120,77.13523854017858,72.312935,16.552121505577766,68.312589,441.845089,68.32838312999999,68.35650700000001,68.41642125,83.95939575,87.3704961,88.31056695000001,102.9063928499998,100.0,100.0,100.0,0.9821428571428571,0.08928571428571429,0.0
2026-01-17,1188,72.71123847811448,68.7050255,6.913577829703296,68.255206,106.339647,68.31504376000001,68.33871765,68.3896195,74.74065575,85.0238304,87.10696705000001,89.62004752999998,100.0,100.0,100.0,0.0,0.0,0.0
