family,mean_abs_shap
Depth,0.23863454395905137
Liquidity,0.22814330918481573
Price dynamics,0.18793460621964186
Trade activity,0.18700370355509222
Time,0.1327113206498325
Order-book imbalance,0.12698011948668864
Order flow,0.1253366102464497
Volatility,0.12347411084920168
