feature,missing_pct,mean,std,min,p25,p50,p75,max
relative_spread_bps,0.0,13.95031525366401,14.277146612277594,6.815238874354775e-07,1.6509058892113584,9.553540527035016,23.612928571881266,357.4336467879849
ask_range_8_bps,0.0,24.479931174621957,22.850950678424457,8.487853513532222e-06,9.008228448051714,18.548761948568234,32.26580634694951,371.91205465688347
bid_range_8_bps,0.0,19.068471290066856,18.468247550348035,8.120772931596294e-06,5.698757883400701,14.215377692119409,27.340825221297,399.124030385665
ask_concentration,0.0,0.2492347022930992,0.2603418543784638,1.0569204508766789e-05,0.04559488829769511,0.1440407192694293,0.3767331754838744,0.9993707971115717
bid_concentration,0.0,0.2681722094606745,0.2620074205710262,3.087575211390499e-05,0.055595018229123695,0.17200606366272506,0.4120474906830761,0.999937065217996
delta_spread_5s,0.0025193359030559544,0.0003599236129247448,13.078755062266872,-352.5411786947891,-2.4979779511050273,-1.1391989573894534e-09,1.5364974494414854,348.6876249338329
delta_spread_15s,0.0025193359030559544,0.0003599236129247448,13.078755062266872,-352.5411786947891,-2.4979779511050273,-1.1391989573894534e-09,1.5364974494414854,348.6876249338329
delta_spread_30s,0.0025193359030559544,0.0003599236129247448,13.078755062266872,-352.5411786947891,-2.4979779511050273,-1.1391989573894534e-09,1.5364974494414854,348.6876249338329
spread_mean_120s,0.0,13.952733150259279,13.275465999073623,6.918025234149343e-07,3.122995735867836,10.622219158577039,22.44360593471465,357.4336467879849
spread_std_120s,18.91265462424105,4.314785603110358,7.068721677623971,0.0,9.364010837008744e-06,0.9639317735981177,5.599355478467888,116.3089119413664
spread_mean_300s,0.0,13.940933805117062,11.549678385398634,7.241129642596916e-07,4.580662694164852,11.383650993724569,21.205445627002916,232.55716099217688
spread_std_300s,0.03527070264278336,6.839824224966341,7.186823242704611,0.0,1.4657101097361638,5.008089676557426,10.537960727072477,246.5593841065447
log_ask_depth_1,0.0,0.0072451556010960354,0.021963266462624285,9.999995000003334e-07,0.0004249097130803881,0.0012002793764215695,0.004502846951178854,0.3462393823801844
log_ask_depth_2,0.0,0.014015553426393297,0.031093316221309026,1.9999980000026667e-06,0.0015577860210649898,0.004340566098420136,0.011607373041716032,0.4953149528340018
log_ask_depth_3,0.0,0.021397296848981298,0.0409903313213469,2.999995500009e-06,0.0036074851936220426,0.007846138394142325,0.02058957247554326,0.5037393755097926
log_ask_depth_5,0.0,0.03628904895166857,0.05448514757955076,1.9999800002666624e-05,0.008251859564117617,0.01725133630362662,0.043357337819526796,0.5040475041263224
log_ask_depth_8,0.0,0.05783260643076993,0.06570141358163178,4.199911802469522e-05,0.018207237691638255,0.03630878529586811,0.07656559258628583,0.5091894860223096
log_bid_depth_1,0.0,0.006862943484766247,0.026414594596361578,9.999995000003334e-07,0.0003999200213269354,0.0011832996247749994,0.004050784483185038,0.5786203377488294
log_bid_depth_2,0.0,0.012902844211715869,0.03431905135159744,4.999987500041666e-06,0.001462929396781362,0.004020905314540803,0.010115663719589928,0.5794828389266597
log_bid_depth_3,0.0,0.01888248790582948,0.040457052967812566,1.0999939500443663e-05,0.003222801192828676,0.0070798784099106084,0.016824668162381786,0.579581987287138
log_bid_depth_5,0.0,0.030519746191361354,0.04976393302244878,2.6999635506560865e-05,0.007171225189156197,0.015001906568345451,0.032804016270650514,0.6979063377843232
